start_time_ticks,duration_ticks,midi_number,velocity,note_name,frequency_hz,original_mz,original_intensity,retention_time,start_time_seconds,duration_seconds
3480,120,93,20,A,1759.9999999999998,130.0,21663.0,0.03280481137233461,3.9545454545454546,0.13636363636363635
3960,960,93,20,A,1759.9999999999998,128.0,126180.0,0.036994427064498014,4.5,1.0909090909090908
5040,720,79,20,G,783.9908719634985,474.0,25185.0,0.04811372334609076,5.7272727272727275,0.8181818181818182
5040,720,76,20,E,659.2551138257398,599.0,21691.0,0.04811372334609076,5.7272727272727275,0.8181818181818182
5160,960,62,20,D,293.6647679174076,976.0,68665.0,0.048921394220806505,5.863636363636363,1.0909090909090908
5640,960,62,20,D,293.6647679174076,975.0000000000001,6027626.0,0.053361626588878434,6.409090909090909,1.0909090909090908
5760,960,74,20,D,587.3295358348151,666.0000000000001,874656.0,0.054558580301066625,6.545454545454546,1.0909090909090908
6000,720,76,20,E,659.2551138257398,598.0,130336.0,0.056493381550777044,6.818181818181818,0.8181818181818182
6120,960,79,20,G,783.9908719634985,527.0,3961982.0,0.05841827283280534,6.954545454545454,1.0909090909090908
6720,960,93,20,A,1759.9999999999998,140.0,1362269.0,0.06358061355857882,7.636363636363637,1.0909090909090908
6840,480,93,20,A,1759.9999999999998,122.0,48512.0,0.06485702308238278,7.7727272727272725,0.5454545454545454
6960,960,81,20,A,879.9999999999999,434.0,267443.0,0.06546403237920241,7.909090909090909,1.0909090909090908
7200,960,86,127,D,1174.65907166963,322.00000000000006,852835377.0,0.06781005224242952,8.181818181818182,1.0909090909090908
7200,960,82,20,A#,932.3275230361797,408.0,20552.0,0.0683433570256971,8.181818181818182,1.0909090909090908
7320,960,86,22,D,1174.65907166963,324.00000000000006,21338081.0,0.06915267707636444,8.318181818181818,1.0909090909090908
7320,960,74,20,D,587.3295358348151,627.0,572237.0,0.06960303020650907,8.318181818181818,1.0909090909090908
7440,120,79,20,G,783.9908719634985,488.0,22291.0,0.06998359759431383,8.454545454545455,0.13636363636363635
7560,480,71,20,B,493.88330125612407,686.0,22471.0,0.07107709130672499,8.590909090909092,0.5454545454545454
8160,960,86,34,D,1174.65907166963,323.0,116367540.0,0.0773465613958266,9.272727272727273,1.0909090909090908
8160,720,79,20,G,783.9908719634985,514.0,23753.0,0.07763805358119191,9.272727272727273,0.8181818181818182
8160,720,70,20,A#,466.16376151808987,723.0,20085.0,0.07763805358119191,9.272727272727273,0.8181818181818182
8400,720,76,20,E,659.2551138257398,583.0,20642.0,0.07982504100601422,9.545454545454545,0.8181818181818182
8640,960,91,20,G,1567.9817439269973,209.00000000000006,2767499.0,0.08168777986834601,9.818181818181818,1.0909090909090908
8760,960,82,27,A#,932.3275230361797,431.0,58067288.0,0.0834180686636493,9.954545454545455,1.0909090909090908
8760,720,74,20,D,587.3295358348151,632.0,21766.0,0.08310552214324768,9.954545454545455,0.8181818181818182
9240,960,62,20,D,293.6647679174076,924.0,1822052.0,0.08719595112271575,10.5,1.0909090909090908
9480,960,74,20,D,587.3295358348151,642.9999999999999,1124370.0,0.08989879919292681,10.772727272727273,1.0909090909090908
9720,960,91,22,G,1567.9817439269973,159.0,22796580.0,0.09171103426345774,11.045454545454545,1.0909090909090908
10320,960,91,20,G,1567.9817439269973,162.99999999999997,242726.0,0.09810476346964597,11.727272727272727,1.0909090909090908
10320,960,93,20,A,1759.9999999999998,144.00000000000003,3298629.0,0.09752093634568022,11.727272727272727,1.0909090909090908
10320,960,74,20,D,587.3295358348151,635.0000000000002,418847.0,0.09721709365530577,11.727272727272727,1.0909090909090908
10320,960,74,20,D,587.3295358348151,653.0000000000001,932641.0,0.09796796276847373,11.727272727272727,1.0909090909090908
10680,960,83,20,B,987.7666025122483,377.0,1548254.0,0.1007640612282772,12.136363636363637,1.0909090909090908
10680,960,71,20,B,493.88330125612407,694.9999999999999,157599.0,0.10058774237600643,12.136363636363637,1.0909090909090908
10800,960,91,20,G,1567.9817439269973,165.0,975900.0,0.1025247956338238,12.272727272727273,1.0909090909090908
10920,960,91,26,G,1567.9817439269973,221.0,49542651.0,0.10294440380898563,12.409090909090908,1.0909090909090908
10920,960,95,20,B,1975.5332050244963,85.0,71927.0,0.10370931258952232,12.409090909090908,1.0909090909090908
10920,960,94,20,A#,1864.6550460723597,111.0,40272.0,0.10306540728079133,12.409090909090908,1.0909090909090908
10920,960,71,20,B,493.88330125612407,711.0,23013.0,0.10333515582285402,12.409090909090908,1.0909090909090908
11040,960,93,20,A,1759.9999999999998,118.00000000000001,5590721.0,0.10432039969738545,12.545454545454545,1.0909090909090908
