start_time_ticks,duration_ticks,midi_number,velocity,note_name,frequency_hz,original_mz,original_intensity,retention_time,start_time_seconds,duration_seconds
2760,120,93,20,A,1759.9999999999998,130.0,21663.0,0.03280481137233461,3.8333333333333335,0.16666666666666666
3240,720,93,20,A,1759.9999999999998,128.0,126180.0,0.036994427064498014,4.5,1.0
4200,720,62,20,D,293.6647679174076,976.0,68665.0,0.048921394220806505,5.833333333333333,1.0
4200,720,79,20,G,783.9908719634985,474.0,25185.0,0.04811372334609076,5.833333333333333,1.0
4200,480,76,20,E,659.2551138257398,599.0,21691.0,0.04811372334609076,5.833333333333333,0.6666666666666666
4560,960,62,20,D,293.6647679174076,975.0000000000001,6027626.0,0.053361626588878434,6.333333333333333,1.3333333333333333
4680,960,72,20,C,523.2511306011972,666.0000000000001,874656.0,0.054558580301066625,6.5,1.3333333333333333
4920,720,76,20,E,659.2551138257398,598.0,130336.0,0.056493381550777044,6.833333333333333,1.0
5040,960,77,20,F,698.4564628660078,527.0,3961982.0,0.05841827283280534,7.0,1.3333333333333333
5520,960,93,20,A,1759.9999999999998,140.0,1362269.0,0.06358061355857882,7.666666666666667,1.3333333333333333
5640,720,81,20,A,879.9999999999999,434.0,267443.0,0.06546403237920241,7.833333333333333,1.0
5640,360,93,20,A,1759.9999999999998,122.0,48512.0,0.06485702308238278,7.833333333333333,0.5
5880,960,86,127,D,1174.65907166963,322.00000000000006,852835377.0,0.06781005224242952,8.166666666666666,1.3333333333333333
5880,720,83,20,B,987.7666025122483,408.0,20552.0,0.0683433570256971,8.166666666666666,1.0
6000,960,86,22,D,1174.65907166963,324.00000000000006,21338081.0,0.06915267707636444,8.333333333333334,1.3333333333333333
6000,960,74,20,D,587.3295358348151,627.0,572237.0,0.06960303020650907,8.333333333333334,1.3333333333333333
6000,120,79,20,G,783.9908719634985,488.0,22291.0,0.06998359759431383,8.333333333333334,0.16666666666666666
6120,480,72,20,C,523.2511306011972,686.0,22471.0,0.07107709130672499,8.5,0.6666666666666666
6720,960,86,34,D,1174.65907166963,323.0,116367540.0,0.0773465613958266,9.333333333333334,1.3333333333333333
6720,480,79,20,G,783.9908719634985,514.0,23753.0,0.07763805358119191,9.333333333333334,0.6666666666666666
6720,720,71,20,B,493.88330125612407,723.0,20085.0,0.07763805358119191,9.333333333333334,1.0
6840,480,76,20,E,659.2551138257398,583.0,20642.0,0.07982504100601422,9.5,0.6666666666666666
7080,960,89,20,F,1396.9129257320153,209.00000000000006,2767499.0,0.08168777986834601,9.833333333333334,1.3333333333333333
7080,720,74,20,D,587.3295358348151,632.0,21766.0,0.08310552214324768,9.833333333333334,1.0
7200,960,81,27,A,879.9999999999999,431.0,58067288.0,0.0834180686636493,10.0,1.3333333333333333
7560,960,62,20,D,293.6647679174076,924.0,1822052.0,0.08719595112271575,10.5,1.3333333333333333
7800,960,74,20,D,587.3295358348151,642.9999999999999,1124370.0,0.08989879919292681,10.833333333333334,1.3333333333333333
7920,960,91,22,G,1567.9817439269973,159.0,22796580.0,0.09171103426345774,11.0,1.3333333333333333
8400,960,93,20,A,1759.9999999999998,144.00000000000003,3298629.0,0.09752093634568022,11.666666666666666,1.3333333333333333
8400,720,74,20,D,587.3295358348151,635.0000000000002,418847.0,0.09721709365530577,11.666666666666666,1.0
8520,720,91,20,G,1567.9817439269973,162.99999999999997,242726.0,0.09810476346964597,11.833333333333334,1.0
8520,960,74,20,D,587.3295358348151,653.0000000000001,932641.0,0.09796796276847373,11.833333333333334,1.3333333333333333
8640,960,72,20,C,523.2511306011972,694.9999999999999,157599.0,0.10058774237600643,12.0,1.3333333333333333
8760,960,84,20,C,1046.5022612023945,377.0,1548254.0,0.1007640612282772,12.166666666666666,1.3333333333333333
8880,960,89,26,F,1396.9129257320153,221.0,49542651.0,0.10294440380898563,12.333333333333334,1.3333333333333333
8880,960,91,20,G,1567.9817439269973,165.0,975900.0,0.1025247956338238,12.333333333333334,1.3333333333333333
8880,960,93,20,A,1759.9999999999998,111.0,40272.0,0.10306540728079133,12.333333333333334,1.3333333333333333
8880,960,71,20,B,493.88330125612407,711.0,23013.0,0.10333515582285402,12.333333333333334,1.3333333333333333
9000,960,93,20,A,1759.9999999999998,118.00000000000001,5590721.0,0.10432039969738545,12.5,1.3333333333333333
9000,960,95,20,B,1975.5332050244963,85.0,71927.0,0.10370931258952232,12.5,1.3333333333333333
9120,960,93,20,A,1759.9999999999998,120.0,620943.0,0.10562497631261553,12.666666666666666,1.3333333333333333
9240,960,77,20,F,698.4564628660078,537.0000000000001,3833369.0,0.10679151361306542,12.833333333333334,1.3333333333333333
9240,960,91,20,G,1567.9817439269973,173.99999999999997,4751496.0,0.10636989996047844,12.833333333333334,1.3333333333333333
9360,960,79,20,G,783.9908719634985,509.00000000000006,777810.0,0.10765885352397893,13.0,1.3333333333333333
9480,960,76,21,E,659.2551138257398,567.0,14329709.0,0.10917460389399758,13.166666666666666,1.3333333333333333
9840,960,79,20,G,783.9908719634985,489.0,2883090.0,0.11420923128272702,13.666666666666666,1.3333333333333333
9960,960,89,20,F,1396.9129257320153,220.0,633630.0,0.11498832346038618,13.833333333333334,1.3333333333333333
10200,720,74,20,D,587.3295358348151,608.9999999999999,814074.0,0.1178284990683575,14.166666666666666,1.0
10200,720,74,20,D,587.3295358348151,631.0,787421.0,0.11850967678180141,14.166666666666666,1.0
10680,960,77,20,F,698.4564628660078,533.0,435641.0,0.12344883008684265,14.833333333333334,1.3333333333333333
10800,960,91,20,G,1567.9817439269973,162.00000000000003,435131.0,0.1257052345060332,15.0,1.3333333333333333
